"pop2023","pop2022","city","country","growthRate","type","rank"
4588666,4457882,"Kabul","Afghanistan",0.0293,"w",92
2901810,2853959,"Algiers","Algeria",0.0168,"w",173
935947,922302,"Oran","Algeria",0.0148,"w",635
9292336,8952496,"Luanda","Angola",0.038,"w",40
958548,914456,"Lubango","Angola",0.0482,"w",611
904676,861878,"Cabinda","Angola",0.0497,"w",656
809468,776832,"Benguela","Angola",0.042,"w",723
783243,743760,"Malanje","Angola",0.0531,"w",747
15490415,15369919,"Buenos Aires","Argentina",0.0078,"w",16
1611651,1597844,"Cordoba","Argentina",0.0086,"w",331
1594096,1574235,"Rosario","Argentina",0.0126,"w",332
1226427,1209458,"Mendoza","Argentina",0.014,"w",461
1026767,1013645,"San Miguel de Tucuman","Argentina",0.0129,"w",566
914036,904170,"La Plata","Argentina",0.0109,"w",648
1094813,1092028,"Yerevan","Armenia",0.0026,"w",523
5235407,5150766,"Melbourne","Australia",0.0164,"w",81
5120894,5056571,"Sydney","Australia",0.0127,"w",82
2504505,2472222,"Brisbane","Australia",0.0131,"w",202
2117997,2092649,"Perth","Australia",0.0121,"w",244
1366783,1355522,"Adelaide","Australia",0.0083,"w",399
1975271,1960023,"Vienna","Austria",0.0078,"w",263
2432304,2401108,"Baku","Azerbaijan",0.013,"w",207
23209616,22478116,"Dhaka","Bangladesh",0.0325,"w",4
5379660,5252842,"Chittagong","Bangladesh",0.0241,"w",78
964291,927856,"Sylhet","Bangladesh",0.0393,"w",605
961991,942126,"Rajshahi","Bangladesh",0.0211,"w",608
955104,949659,"Khulna","Bangladesh",0.0057,"w",618
905814,864183,"Bogra","Bangladesh",0.0482,"w",655
2057257,2048574,"Minsk","Belarus",0.0042,"w",252
2121992,2109631,"Brussels","Belgium",0.0059,"w",243
1057215,1052622,"Antwerp","Belgium",0.0044,"w",550
1252890,1188736,"Abomey-Calavi","Benin",0.054,"w",448
1935619,1907686,"La Paz","Bolivia",0.0146,"w",270
1820114,1784372,"Santa Cruz","Bolivia",0.02,"w",282
1400250,1368920,"Cochabamba","Bolivia",0.0229,"w",386
22619736,22429800,"Sao Paulo","Brazil",0.0085,"w",5
13727720,13634274,"Rio de Janeiro","Brazil",0.0069,"w",22
6247889,6194292,"Belo Horizonte","Brazil",0.0087,"w",62
4873048,4803877,"Brasilia","Brazil",0.0144,"w",86
4263940,4220458,"Recife","Brazil",0.0103,"w",102
4211933,4185488,"Porto Alegre","Brazil",0.0063,"w",103
4206240,4163953,"Fortaleza","Brazil",0.0102,"w",105
3958384,3920132,"Salvador","Brazil",0.0098,"w",114
3813082,3770919,"Curitiba","Brazil",0.0112,"w",127
3422796,3384564,"Campinas","Brazil",0.0113,"w",140
2848473,2800919,"Goiania","Brazil",0.017,"w",178
2409409,2385490,"Belem","Brazil",0.01,"w",211
2375636,2340784,"Manaus","Brazil",0.0149,"w",214
2170513,2141511,"Grande Vitoria","Brazil",0.0135,"w",237
1947785,1929846,"Baixada Santista","Brazil",0.0093,"w",269
1535316,1511614,"Natal","Brazil",0.0157,"w",349
1523629,1511102,"Grande Sao Luis","Brazil",0.0083,"w",353
1421827,1407889,"Joao Pessoa","Brazil",0.0099,"w",379
1363510,1350505,"Maceio","Brazil",0.0096,"w",401
1348521,1334194,"Joinville","Brazil",0.0107,"w",407
1294486,1277547,"Florianopolis","Brazil",0.0133,"w",428
1056986,1042445,"Aracaju","Brazil",0.0139,"w",551
1050459,1040971,"Teresina","Brazil",0.0091,"w",555
926095,916786,"Campo Grande","Brazil",0.0102,"w",639
922425,911014,"Londrina","Brazil",0.0125,"w",640
813320,804692,"Sorocaba","Brazil",0.0107,"w",719
1288114,1286789,"Sofia","Bulgaria",0.001,"w",434
3203923,3055788,"Ouagadougou","Burkina Faso",0.0485,"w",150
1128646,1074309,"Bobo-Dioulasso","Burkina Faso",0.0506,"w",505
1206767,1139265,"Bujumbura","Burundi",0.0593,"w",473
2281198,2211444,"Phnom Penh","Cambodia",0.0315,"w",227
4509287,4336670,"Yaounde","Cameroon",0.0398,"w",95
4063200,3926645,"Douala","Cameroon",0.0348,"w",111
6371958,6312974,"Toronto","Canada",0.0093,"w",60
4307958,4276526,"Montreal","Canada",0.0073,"w",101
2657088,2631690,"Vancouver","Canada",0.0097,"w",192
1639613,1611475,"Calgary","Canada",0.0175,"w",326
1544448,1518921,"Edmonton","Canada",0.0168,"w",347
1437188,1422635,"Ottawa","Canada",0.0102,"w",373
844249,837814,"Quebec City","Canada",0.0077,"w",693
841108,832944,"Winnipeg","Canada",0.0098,"w",695
781047,775751,"Hamilton","Canada",0.0068,"w",748
958335,933176,"Bangui","Central African Republic",0.027,"w",613
1592324,1532588,"N-Djamena","Chad",0.039,"w",334
6903392,6856939,"Santiago","Chile",0.0068,"w",57
1008599,1000467,"Valparaiso","Chile",0.0081,"w",575
911862,902142,"Concepcion","Chile",0.0108,"w",651
29210808,28516904,"Shanghai","China",0.0243,"w",3
21766214,21333332,"Beijing","China",0.0203,"w",8
17340704,16874740,"Chongqing","China",0.0276,"w",11
14284353,13964637,"Guangzhou","China",0.0229,"w",19
14238643,14011828,"Tianjin","China",0.0162,"w",20
13072633,12831330,"Shenzhen","China",0.0188,"w",24
9698464,9429381,"Nanjing","China",0.0285,"w",34
9653772,9478521,"Chengdu","China",0.0185,"w",35
8785174,8537646,"Xi-an Shaanxi","China",0.029,"w",42
8718250,8591611,"Wuhan","China",0.0147,"w",43
8237206,8044878,"Hangzhou","China",0.0239,"w",46
8074031,7764499,"Suzhou","China",0.0399,"w",47
7680967,7527975,"Shenyang","China",0.0203,"w",53
7597386,7497263,"Foshan","China",0.0134,"w",54
7587049,7511851,"Dongguan","China",0.01,"w",55
6803811,6665951,"Haerbin","China",0.0207,"w",58
6077995,5930140,"Dalian","China",0.0249,"w",65
5986525,5865232,"Qingdao","China",0.0207,"w",66
5859272,5690312,"Zhengzhou","China",0.0297,"w",67
5806031,5663015,"Ji-nan Shandong","China",0.0253,"w",68
4921487,4809887,"Changsha","China",0.0232,"w",84
4865038,4710203,"Urumqi","China",0.0329,"w",87
4761284,4657381,"Kunming","China",0.0223,"w",89
4710382,4616002,"Changchun","China",0.0204,"w",90
4615758,4496456,"Hefei","China",0.0265,"w",91
4573713,4490411,"Shantou","China",0.0186,"w",93
4537901,4405292,"Ningbo","China",0.0301,"w",94
4370473,4285135,"Shijiazhuang","China",0.0199,"w",98
4191890,4085697,"Nanning","China",0.026,"w",106
4145010,4061003,"Taiyuan Shanxi","China",0.0207,"w",107
3981658,3869213,"Changzhou","China",0.0291,"w",113
3935484,3862882,"Xiamen","China",0.0188,"w",116
3922202,3843753,"Fuzhou Fujian","China",0.0204,"w",118
3920379,3817888,"Nanchang","China",0.0268,"w",119
3919724,3824561,"Wenzhou","China",0.0249,"w",120
3814702,3693292,"Tangshan Hebei","China",0.0329,"w",126
3580904,3495855,"Guiyang","China",0.0243,"w",131
3437346,3375810,"Wuxi","China",0.0182,"w",138
3297528,3226493,"Lanzhou","China",0.022,"w",146
3010685,2973878,"Zhongshan","China",0.0124,"w",162
3005409,2917786,"Handan","China",0.03,"w",165
2979893,2879079,"Huaian","China",0.035,"w",168
2917819,2834645,"Weifang","China",0.0293,"w",172
2805654,2722257,"Shaoxing","China",0.0306,"w",181
2780142,2732104,"Zibo","China",0.0176,"w",183
2764584,2689227,"Yantai","China",0.028,"w",184
2758593,2684343,"Huizhou","China",0.0277,"w",186
2602793,2534195,"Luoyang","China",0.0271,"w",197
2492230,2423725,"Nantong","China",0.0283,"w",203
2380636,2312208,"Hohhot","China",0.0296,"w",212
2343452,2286224,"Liuzhou","China",0.025,"w",220
2334878,2287174,"Baotou","China",0.0209,"w",222
2287166,2240503,"Xuzhou","China",0.0208,"w",226
2176022,2093166,"Putian","China",0.0396,"w",236
2131291,2085864,"Yangzhou","China",0.0218,"w",241
2124797,2046187,"Wuhu Anhui","China",0.0384,"w",242
2107539,2064081,"Baoding","China",0.0211,"w",246
2102143,2048701,"Taizhou Zhejiang","China",0.0261,"w",248
2076364,2030847,"Linyi Shandong","China",0.0224,"w",250
2016092,1974244,"Haikou","China",0.0212,"w",254
2000656,1954752,"Daqing","China",0.0235,"w",255
1993463,1951122,"Yancheng Jiangsu","China",0.0217,"w",256
1986439,1933605,"Lianyungang","China",0.0273,"w",258
1889829,1847411,"Zhuhai","China",0.023,"w",274
1873693,1831912,"Datong","China",0.0228,"w",275
1869994,1814734,"Quanzhou","China",0.0305,"w",276
1788871,1732743,"Cixi","China",0.0324,"w",290
1768511,1740196,"Jiangmen","China",0.0163,"w",296
1742706,1713433,"Xiangyang","China",0.0171,"w",300
1716591,1672688,"Yinchuan","China",0.0262,"w",302
1711244,1660148,"Yichang","China",0.0308,"w",303
1689499,1667187,"Anshan","China",0.0134,"w",309
1680962,1634829,"Qinhuangdao","China",0.0282,"w",311
1668785,1645140,"Jilin","China",0.0144,"w",317
1666605,1625782,"Xining","China",0.0251,"w",318
1664968,1595867,"Suqian","China",0.0433,"w",319
1661854,1618900,"Hengyang","China",0.0265,"w",321
1642347,1585812,"Anyang","China",0.0357,"w",325
1635458,1609057,"Qiqihaer","China",0.0164,"w",327
1569560,1543534,"Jining Shandong","China",0.0169,"w",342
1536171,1502958,"Zhangjiakou","China",0.0221,"w",348
1512668,1486964,"Huainan","China",0.0173,"w",356
1496298,1472558,"Chaozhou","China",0.0161,"w",358
1483320,1436780,"Yiwu","China",0.0324,"w",360
1459678,1405736,"Ganzhou","China",0.0384,"w",365
1446810,1414649,"Taizhou Jiangsu","China",0.0227,"w",369
